"# Tucson June 23--Jul7, 2017 weather from airport observations to go with CAISO prices from same time period.",,,,,,
# Datetime Temp(F) RH (%) solar_direct (W/sf) solar_difuse (W/sf) pressure (kPA) wind (m/s),,,,,,
$state_name=Arizona,,,,,,
$city_name=Tucson,,,,,,
temperature,humidity,solar_direct,solar_diffuse,pressure,wind_speed,
07:01:19:00:00,102.92,0.05,44.22,7.71,925.26,4.1
07:01:20:00:00,98.96,0.06,0,0,925.17,3.1
07:01:21:00:00,95,0.08,0,0,925.53,3.1
07:01:22:00:00,91.94,0.09,0,0,925.83,1.5
07:01:23:00:00,91.04,0.09,0,0,925.89,2.1
07:02:00:00:00,91.04,0.09,0,0,925.89,2.1
07:02:01:00:00,84.92,0.13,0,0,925.46,3.6
07:02:02:00:00,82.04,0.16,0,0,925.22,3.6
07:02:03:00:00,82.94,0.17,0,0,925.35,0
07:02:04:00:00,82.94,0.14,0,0,925.99,2.6
07:02:05:00:00,82.94,0.16,0,0,926.63,4.1
07:02:06:00:00,82.94,0.16,0,0,926.63,4.1
07:02:07:00:00,84.92,0.17,24.99,3.81,928.58,4.6
07:02:08:00:00,89.06,0.19,47.57,7.25,929.91,3.6
07:02:09:00:00,93.02,0.2,63.27,9.94,930.58,4.1
07:02:10:00:00,96.08,0.16,70.88,11.98,930.92,4.1
07:02:11:00:00,98.06,0.13,72.65,14.96,930.83,2.6
07:02:12:00:00,98.06,0.13,68.75,20.25,930.83,2.6
07:02:13:00:00,102.92,0.11,61.59,26.48,930.78,2.3
07:02:14:00:00,102.02,0.13,53.6,31.77,929.73,2.1
07:02:15:00:00,104,0.12,60.39,25.18,931.52,2.6
07:02:16:00:00,105.08,0.12,54.91,24.15,931.67,5.1
07:02:17:00:00,105.08,0.11,45.89,22.58,928.13,6.7
07:02:18:00:00,105.08,0.11,40.23,16.35,928.13,6.7
07:02:19:00:00,96.98,0.21,25.27,10.87,927.47,4.6
07:02:20:00:00,96.08,0.22,0,0,927.52,4.6
07:02:21:00:00,89.06,0.27,0,0,927.8,8.8
07:02:22:00:00,89.06,0.26,0,0,928.63,4.1
07:02:23:00:00,87.98,0.27,0,0,929.39,3.6
07:03:00:00:00,87.98,0.27,0,0,929.39,3.6
07:03:01:00:00,87.08,0.31,0,0,929.63,4.1
07:03:02:00:00,82.94,0.38,0,0,928.74,5.1
07:03:03:00:00,82.04,0.4,0,0,928.7,6.7
07:03:04:00:00,80.96,0.42,0,0,928.36,5.1
07:03:05:00:00,78.98,0.45,0,0,928.24,4.6
07:03:06:00:00,78.98,0.45,0,0,928.24,4.6
07:03:07:00:00,80.96,0.41,22.02,3.99,929.45,3.6
07:03:08:00:00,84.02,0.36,43.76,7.71,930.28,2.6
